ligand,target,energy,timestamp
CHEMBL146675,FUS,-4.968,2026-08-12 18:36:30
CHEMBL153086,TDP43,-6.396,2026-08-12 18:36:50
CHEMBL153086,SOD1,-5.062,2026-08-12 18:37:10
CHEMBL153086,FUS,-5.191,2026-08-12 18:37:26
CHEMBL153534,TDP43,-4.308,2026-08-12 18:37:31
CHEMBL153534,SOD1,-5.735,2026-08-12 18:37:37
CHEMBL153534,FUS,-4.428,2026-08-12 18:37:41
CHEMBL153717,TDP43,-6.476,2026-08-12 18:38:17
CHEMBL153717,SOD1,-5.777,2026-08-12 18:38:47
CHEMBL153717,FUS,-6.092,2026-08-12 18:39:18
CHEMBL153812,TDP43,-4.72,2026-08-12 18:39:25
CHEMBL153812,SOD1,-5.527,2026-08-12 18:39:30
CHEMBL153812,FUS,-4.816,2026-08-12 18:39:36
CHEMBL154209,TDP43,-4.711,2026-08-12 18:39:44
CHEMBL154209,SOD1,-6.007,2026-08-12 18:39:54
CHEMBL154209,FUS,-4.483,2026-08-12 18:40:01
CHEMBL154228,TDP43,-4.773,2026-08-12 18:40:09
CHEMBL154228,SOD1,-4.965,2026-08-12 18:40:19
CHEMBL154228,FUS,-4.467,2026-08-12 18:40:25
CHEMBL154288,TDP43,-4.896,2026-08-12 18:44:18
CHEMBL154288,SOD1,-5.76,2026-08-12 18:46:56
CHEMBL154288,FUS,-4.499,2026-08-12 18:49:33
CHEMBL154341,TDP43,-5.011,2026-08-12 18:53:26
CHEMBL154341,SOD1,-4.617,2026-08-12 18:55:43
CHEMBL154341,FUS,-3.867,2026-08-12 18:57:42
CHEMBL154357,TDP43,-3.833,2026-08-12 18:57:45
CHEMBL154357,SOD1,-4.26,2026-08-12 18:57:48
CHEMBL154357,FUS,-4.297,2026-08-12 18:57:51
CHEMBL154392,TDP43,-3.745,2026-08-12 18:58:04
CHEMBL154392,SOD1,-3.992,2026-08-12 18:58:18
CHEMBL154392,FUS,-3.822,2026-08-12 18:58:30
CHEMBL154414,TDP43,-4.175,2026-08-12 18:58:43
CHEMBL154414,SOD1,-4.313,2026-08-12 18:58:57
CHEMBL154414,FUS,-3.371,2026-08-12 18:59:09
CHEMBL1163427,TDP43,-5.121,2026-08-12 20:06:43
CHEMBL1163427,SOD1,-5.409,2026-08-12 20:08:15
CHEMBL1163427,FUS,-4.751,2026-08-12 20:09:41
