ligand,target,energy
CHEMBL1203224,FUS,-4.873
CHEMBL1207979,FUS,-4.867
CHEMBL1203252,TDP43,-4.845
CHEMBL1204470,FUS,-4.819
CHEMBL1203140,FUS,-4.818
CHEMBL153812,FUS,-4.816
CHEMBL1208484,FUS,-4.813
CHEMBL1205372,TDP43,-4.81
CHEMBL154228,TDP43,-4.773
CHEMBL1163427,FUS,-4.751
CHEMBL1203252,SOD1,-4.729
CHEMBL153812,TDP43,-4.72
CHEMBL154209,TDP43,-4.711
CHEMBL1208034,FUS,-4.69
CHEMBL1203109,FUS,-4.68
CHEMBL1204461,FUS,-4.672
CHEMBL1205279,FUS,-4.624
CHEMBL154341,SOD1,-4.617
CHEMBL1207940,FUS,-4.603
CHEMBL1083543,FUS,-4.584
CHEMBL1207940,SOD1,-4.501
CHEMBL154288,FUS,-4.499
CHEMBL154209,FUS,-4.483
CHEMBL1205641,TDP43,-4.468
CHEMBL154228,FUS,-4.467
CHEMBL153534,FUS,-4.428
CHEMBL1083541,FUS,-4.401
CHEMBL1203155,SOD1,-4.365
CHEMBL1205279,SOD1,-4.362
CHEMBL1204471,FUS,-4.326
CHEMBL154414,SOD1,-4.313
CHEMBL153534,TDP43,-4.308
CHEMBL154357,FUS,-4.297
CHEMBL1163234,SOD1,-4.276
CHEMBL154357,SOD1,-4.26
CHEMBL1205641,FUS,-4.256
CHEMBL1205150,TDP43,-4.21
CHEMBL1203252,FUS,-4.202
CHEMBL1205831,FUS,-4.183
CHEMBL154414,TDP43,-4.175
CHEMBL1203155,FUS,-4.071
CHEMBL1208484,TDP43,-4.065
CHEMBL1207990,SOD1,-4.015
CHEMBL154392,SOD1,-3.992
CHEMBL1204421,FUS,-3.869
CHEMBL154341,FUS,-3.867
CHEMBL1204421,SOD1,-3.863
CHEMBL154357,TDP43,-3.833
CHEMBL154392,FUS,-3.822
CHEMBL1204421,TDP43,-3.766
CHEMBL154392,TDP43,-3.745
CHEMBL154414,FUS,-3.371
CHEMBL1207990,TDP43,-3.29
CHEMBL1207990,FUS,-3.088
CHEMBL1076399,TDP43,-1.866
